video_date,origin_poi_cate,dest_poi_cate,flow_n
2023-06-03,Cityscape,Cityscape,6
2023-06-03,Dining,Natural,1
2023-06-03,area,Dining,1
2023-06-04,Cityscape,Entertainment,1
2023-06-04,Dining,Dining,2
2023-06-04,Dining,Shopping,1
2023-06-04,Natural,Cityscape,1
2023-06-04,area,Natural,1
2023-06-05,Cityscape,Transit,2
2023-06-05,Hotel,area,1
2023-06-05,Natural,area,1
2023-06-05,Transit,Cityscape,1
2023-06-05,Transit,Hotel,1
2023-06-05,Transit,Transit,3
2023-06-05,area,Cityscape,1
2023-06-05,area,Transit,1
2023-06-05,area,area,1
2023-06-06,Cityscape,Shopping,1
2023-06-06,Cityscape,Transit,1
2023-06-06,Entertainment,Cityscape,1
2023-06-06,Entertainment,Shopping,1
2023-06-06,Shopping,Cityscape,1
2023-06-06,Shopping,Entertainment,1
2023-06-07,Cityscape,Entertainment,1
2023-06-07,Cultural,Cultural,1
2023-06-07,Entertainment,Cityscape,1
2023-06-07,Entertainment,Transit,1
2023-06-07,Natural,Entertainment,1
2023-06-09,Dining,Dining,1
2023-06-10,Cityscape,area,1
2023-06-10,Entertainment,Entertainment,2
2023-06-10,Transit,Cityscape,1
2023-06-10,area,Entertainment,1
2023-06-11,Cityscape,Cityscape,3
2023-06-11,Cityscape,Transit,1
2023-06-11,Dining,Dining,1
2023-06-11,Dining,Shopping,1
2023-06-11,Dining,area,1
2023-06-11,Religious,Dining,1
2023-06-11,Shopping,Shopping,1
2023-06-11,Shopping,area,1
2023-06-11,Transit,Shopping,1
2023-06-11,Transit,Transit,2
2023-06-11,area,Cityscape,1
2023-06-11,area,Transit,1
2023-06-11,area,area,1
2023-06-14,Cityscape,Dining,1
2023-06-14,Dining,Transit,1
2023-06-14,Entertainment,Entertainment,4
2023-06-14,Natural,Cityscape,1
2023-06-14,Shopping,Natural,1
2023-06-14,Transit,Entertainment,1
2023-06-14,Transit,Shopping,1
2023-06-15,Shopping,Shopping,4
2023-06-15,area,Shopping,1
2023-06-17,Cityscape,Shopping,1
